194 18721
Sommets du graphe
0 0.000000 0.086021 sommet1
1 0.007529 0.522320 sommet2
2 0.056271 0.736722 sommet3
3 0.111353 0.478983 sommet4
4 0.176739 0.917563 sommet5
5 0.186646 0.319974 sommet6
6 0.201506 0.596611 sommet7
7 0.227858 0.364614 sommet8
8 0.250842 0.879765 sommet9
9 0.253220 0.885630 sommet10
10 0.266495 0.529814 sommet11
11 0.287101 0.904529 sommet12
12 0.292451 0.465624 sommet13
13 0.295225 0.532747 sommet14
14 0.299188 0.985663 sommet15
15 0.299980 0.375041 sommet16
16 0.303547 0.589769 sommet17
17 0.329899 0.736070 sommet18
18 0.330295 1.000000 sommet19
19 0.332277 0.047572 sommet20
20 0.332475 0.718149 sommet21
21 0.338815 0.803519 sommet22
22 0.339410 0.478332 sommet23
23 0.345948 0.664712 sommet24
24 0.346543 0.511893 sommet25
25 0.347533 0.660802 sommet26
26 0.347533 0.855002 sommet27
27 0.352685 0.776800 sommet28
28 0.352883 0.804497 sommet29
29 0.359620 0.929619 sommet30
30 0.360610 0.901597 sommet31
31 0.360610 0.918540 sommet32
32 0.362790 0.741610 sommet33
33 0.367545 0.879440 sommet34
34 0.369130 0.913327 sommet35
35 0.369725 0.237537 sommet36
36 0.369725 0.840665 sommet37
37 0.372499 0.898664 sommet38
38 0.372697 0.867058 sommet39
39 0.372697 0.887260 sommet40
40 0.376263 0.899642 sommet41
41 0.377254 0.916259 sommet42
42 0.378046 0.890192 sommet43
43 0.378046 0.908765 sommet44
44 0.378641 0.796351 sommet45
45 0.380028 0.901271 sommet46
46 0.380226 0.874878 sommet47
47 0.381613 0.899316 sommet48
48 0.381811 0.914956 sommet49
49 0.382604 0.925057 sommet50
50 0.383594 0.865103 sommet51
51 0.383594 0.900293 sommet52
52 0.383991 0.899316 sommet53
53 0.384585 0.904529 sommet54
54 0.384981 0.914956 sommet55
55 0.386963 0.893451 sommet56
56 0.387755 0.771587 sommet57
57 0.388151 0.884653 sommet58
58 0.392510 0.275660 sommet59
59 0.394095 0.736396 sommet60
60 0.398455 0.869339 sommet61
61 0.402021 0.277289 sommet62
62 0.403408 0.136852 sommet63
63 0.404399 0.788205 sommet64
64 0.405389 0.000000 sommet65
65 0.408163 0.855002 sommet66
66 0.409550 0.869339 sommet67
67 0.411532 0.825024 sommet68
68 0.412522 0.684588 sommet69
69 0.420250 0.772238 sommet70
70 0.421439 0.477028 sommet71
71 0.422429 0.618117 sommet72
72 0.423420 0.869013 sommet73
73 0.435506 0.665037 sommet74
74 0.438875 0.603454 sommet75
75 0.442441 0.539264 sommet76
76 0.446602 0.785924 sommet77
77 0.448980 0.619420 sommet78
78 0.462651 0.769306 sommet79
79 0.464831 0.488758 sommet80
80 0.464831 0.772238 sommet81
81 0.468199 0.359400 sommet82
82 0.476917 0.747475 sommet83
83 0.476917 0.810688 sommet84
84 0.478700 0.031606 sommet85
85 0.486031 0.022483 sommet86
86 0.488607 0.531769 sommet87
